 value | value | time   
 26.78 | 27.69 | 2018-09-12 16 20 39.296227
 26.78 | 27.68 | 2018-09-12 16 21 39.344637
 26.74 | 27.67 | 2018-09-12 16 22 39.406089
 26.7 | 27.66 | 2018-09-12 16 23 39.488475
 26.79 | 27.66 | 2018-09-12 16 24 39.551931
 26.72 | 27.66 | 2018-09-12 16 25 39.601319
 26.76 | 27.65 | 2018-09-12 16 26 39.659794
 26.78 | 27.69 | 2018-09-12 16 27 39.716028
 26.75 | 27.67 | 2018-09-12 16 28 39.780666
 26.77 | 27.65 | 2018-09-12 16 29 39.852622
 26.76 | 27.65 | 2018-09-12 16 30 39.910621
 26.79 | 27.66 | 2018-09-12 16 31 39.973831
 26.77 | 27.65 | 2018-09-12 16 32 40.033394
 26.79 | 27.66 | 2018-09-12 16 33 40.086071
 26.77 | 27.66 | 2018-09-12 16 34 40.14822
 26.77 | 27.68 | 2018-09-12 16 35 40.209076
 26.79 | 27.67 | 2018-09-12 16 36 40.256738
 26.81 | 27.66 | 2018-09-12 16 37 40.321694
 26.81 | 27.67 | 2018-09-12 16 38 40.394706
 26.79 | 27.67 | 2018-09-12 16 39 40.456084
 26.8 | 27.68 | 2018-09-12 16 40 40.513132
 26.8 | 27.67 | 2018-09-12 16 41 40.575837
 26.82 | 27.67 | 2018-09-12 16 42 40.632455
 26.82 | 27.68 | 2018-09-12 16 43 40.686107
 26.78 | 27.67 | 2018-09-12 16 44 40.75634
 26.74 | 27.66 | 2018-09-12 16 45 40.810491
 26.8 | 27.66 | 2018-09-12 16 46 40.871203
 26.79 | 27.66 | 2018-09-12 16 47 40.942862
 26.78 | 27.68 | 2018-09-12 16 48 40.998919
 26.77 | 27.68 | 2018-09-12 16 49 41.059407
 26.73 | 27.68 | 2018-09-12 16 50 41.118754
 26.74 | 27.68 | 2018-09-12 16 51 41.170627
 26.77 | 27.67 | 2018-09-12 16 52 41.233977
 26.76 | 27.69 | 2018-09-12 16 53 41.317703
 26.78 | 27.68 | 2018-09-12 16 54 41.378241
 26.78 | 27.68 | 2018-09-12 16 55 41.429199
 26.83 | 27.67 | 2018-09-12 16 56 41.499292
 26.8 | 27.66 | 2018-09-12 16 57 41.553311
 26.77 | 27.68 | 2018-09-12 16 58 41.624189
 26.81 | 27.66 | 2018-09-12 16 59 41.694693
 26.85 | 27.67 | 2018-09-12 17 0 41.753693
 26.82 | 27.67 | 2018-09-12 17 1 41.816372
 26.81 | 27.67 | 2018-09-12 17 2 41.895734
 26.79 | 27.67 | 2018-09-12 17 3 41.958943
 26.81 | 27.68 | 2018-09-12 17 4 42.019872
 26.79 | 27.67 | 2018-09-12 17 5 42.085299
 26.79 | 27.67 | 2018-09-12 17 6 42.131589
 26.86 | 27.66 | 2018-09-12 17 7 42.191488
 26.82 | 27.67 | 2018-09-12 17 8 42.252001
 26.84 | 27.64 | 2018-09-12 17 9 42.316207
 26.78 | 27.64 | 2018-09-12 17 10 42.376038
 26.75 | 27.67 | 2018-09-12 17 11 42.443841
 26.78 | 27.67 | 2018-09-12 17 12 42.502435
 26.79 | 27.67 | 2018-09-12 17 13 42.563422
 26.8 | 27.67 | 2018-09-12 17 14 42.637469
 26.8 | 27.68 | 2018-09-12 17 15 42.695617
 26.78 | 27.66 | 2018-09-12 17 16 42.752901
 26.78 | 27.67 | 2018-09-12 17 17 42.825193
 26.76 | 27.66 | 2018-09-12 17 18 42.886583
 26.79 | 27.67 | 2018-09-12 17 19 42.950829
 26.76 | 27.68 | 2018-09-12 17 20 43.014664
 26.81 | 27.66 | 2018-09-12 17 21 43.066431
 26.78 | 27.65 | 2018-09-12 17 22 43.126017
 26.8 | 27.66 | 2018-09-12 17 23 43.194164
 26.78 | 27.66 | 2018-09-12 17 24 43.248742
 26.77 | 27.66 | 2018-09-12 17 25 43.300689
 26.76 | 27.67 | 2018-09-12 17 26 43.367169
 26.8 | 27.64 | 2018-09-12 17 27 43.427462
 26.81 | 27.66 | 2018-09-12 17 28 43.498178
 26.77 | 27.64 | 2018-09-12 17 29 43.561223
 26.78 | 27.67 | 2018-09-12 17 30 43.619403
 26.8 | 27.65 | 2018-09-12 17 31 43.670137
 26.83 | 27.67 | 2018-09-12 17 32 43.743651
 26.83 | 27.65 | 2018-09-12 17 33 43.799187
 26.8 | 27.65 | 2018-09-12 17 34 43.864454
 26.85 | 27.66 | 2018-09-12 17 35 43.916027
 26.78 | 27.66 | 2018-09-12 17 36 43.9699
 26.76 | 27.65 | 2018-09-12 17 37 44.01445
 26.76 | 27.67 | 2018-09-12 17 38 44.08522
 26.72 | 27.65 | 2018-09-12 17 39 44.140187
 26.72 | 27.65 | 2018-09-12 17 40 44.198786
 26.78 | 27.65 | 2018-09-12 17 41 44.270124
 26.78 | 27.64 | 2018-09-12 17 42 44.331295
 26.81 | 27.65 | 2018-09-12 17 43 44.391615
 26.81 | 27.67 | 2018-09-12 17 44 44.458428
 26.81 | 27.65 | 2018-09-12 17 45 44.515608
 26.81 | 27.65 | 2018-09-12 17 46 44.57935
 26.79 | 27.65 | 2018-09-12 17 47 44.648036
 26.82 | 27.66 | 2018-09-12 17 48 44.707158
 26.77 | 27.67 | 2018-09-12 17 49 44.769814
 26.8 | 27.65 | 2018-09-12 17 50 44.82778
 26.78 | 27.64 | 2018-09-12 17 51 44.885116
 26.85 | 27.65 | 2018-09-12 17 52 44.953466
 26.85 | 27.66 | 2018-09-12 17 53 45.033658
 26.81 | 27.67 | 2018-09-12 17 54 45.085898
 26.8 | 27.67 | 2018-09-12 17 55 45.149055
 26.81 | 27.65 | 2018-09-12 17 56 45.217332
 26.77 | 27.66 | 2018-09-12 17 57 45.277862
 26.82 | 27.66 | 2018-09-12 17 58 45.351628
 26.82 | 27.65 | 2018-09-12 17 59 45.419259
 26.83 | 27.67 | 2018-09-12 18 0 45.470178
 26.79 | 27.66 | 2018-09-12 18 1 45.537283
 26.83 | 27.67 | 2018-09-12 18 2 45.613075
 26.81 | 27.67 | 2018-09-12 18 3 45.670349
 26.82 | 27.66 | 2018-09-12 18 4 45.742481
 26.82 | 27.66 | 2018-09-12 18 5 45.804893
 26.81 | 27.67 | 2018-09-12 18 6 45.857265
 26.83 | 27.67 | 2018-09-12 18 7 45.923546
 26.87 | 27.66 | 2018-09-12 18 8 45.990756
 26.86 | 27.65 | 2018-09-12 18 9 46.0562
 26.87 | 27.66 | 2018-09-12 18 10 46.113111
 26.79 | 27.66 | 2018-09-12 18 11 46.16844
 26.77 | 27.67 | 2018-09-12 18 12 46.223305
 26.82 | 27.69 | 2018-09-12 18 13 46.286119
 26.79 | 27.67 | 2018-09-12 18 14 46.355993
 26.78 | 27.67 | 2018-09-12 18 15 46.410937
 26.78 | 27.66 | 2018-09-12 18 16 46.465288
 26.78 | 27.66 | 2018-09-12 18 17 46.530871
 26.74 | 27.68 | 2018-09-12 18 18 46.587829
 26.78 | 27.66 | 2018-09-12 18 19 46.655605
 26.77 | 27.65 | 2018-09-12 18 20 46.716618
 26.8 | 27.67 | 2018-09-12 18 21 46.774091
 26.79 | 27.67 | 2018-09-12 18 22 46.827821
 26.88 | 27.68 | 2018-09-12 18 23 46.903119
 26.85 | 27.67 | 2018-09-12 18 24 46.957385
 26.84 | 27.68 | 2018-09-12 18 25 47.007502
 26.86 | 27.66 | 2018-09-12 18 26 47.065703
 26.85 | 27.65 | 2018-09-12 18 27 47.118859
 26.84 | 27.65 | 2018-09-12 18 28 47.185751
 26.85 | 27.66 | 2018-09-12 18 29 47.252325
 26.84 | 27.68 | 2018-09-12 18 30 47.30994
 26.85 | 27.68 | 2018-09-12 18 31 47.37866
 26.81 | 27.68 | 2018-09-12 18 32 47.445933
 26.83 | 27.66 | 2018-09-12 18 33 47.489374
 26.82 | 27.66 | 2018-09-12 18 34 47.547532
 26.88 | 27.66 | 2018-09-12 18 35 47.594426
 26.87 | 27.66 | 2018-09-12 18 36 47.641696
 26.85 | 27.68 | 2018-09-12 18 37 47.710496
 26.88 | 27.68 | 2018-09-12 18 38 47.779868
 26.85 | 27.69 | 2018-09-12 18 39 47.836017
 26.85 | 27.69 | 2018-09-12 18 40 47.883623
 26.86 | 27.67 | 2018-09-12 18 41 47.944901
 26.89 | 27.68 | 2018-09-12 18 42 47.990685
 26.91 | 27.67 | 2018-09-12 18 43 48.043068
 26.89 | 27.68 | 2018-09-12 18 44 48.115408
 26.9 | 27.69 | 2018-09-12 18 45 48.172007
 26.9 | 27.71 | 2018-09-12 18 46 48.235614
 26.92 | 27.67 | 2018-09-12 18 47 48.300129
 26.93 | 27.68 | 2018-09-12 18 48 48.352658
 26.85 | 27.67 | 2018-09-12 18 49 48.413592
 26.85 | 27.68 | 2018-09-12 18 50 48.465908
 26.88 | 27.68 | 2018-09-12 18 51 48.512592
 26.89 | 27.7 | 2018-09-12 18 52 48.582617
 26.85 | 27.69 | 2018-09-12 18 53 48.653295
 26.88 | 27.71 | 2018-09-12 18 54 48.708898
 26.86 | 27.7 | 2018-09-12 18 55 48.755008
 26.87 | 27.69 | 2018-09-12 18 56 48.812505
 26.85 | 27.7 | 2018-09-12 18 57 48.863423
 26.89 | 27.69 | 2018-09-12 18 58 48.925278
 26.84 | 27.69 | 2018-09-12 18 59 48.995548
 26.85 | 27.69 | 2018-09-12 19 0 49.050722
 26.89 | 27.69 | 2018-09-12 19 1 49.10294
 26.86 | 27.7 | 2018-09-12 19 2 49.176587
 26.9 | 27.7 | 2018-09-12 19 3 49.231248
 26.87 | 27.7 | 2018-09-12 19 4 49.287878
 26.88 | 27.71 | 2018-09-12 19 5 49.341292
 26.87 | 27.68 | 2018-09-12 19 6 49.388388
 26.85 | 27.71 | 2018-09-12 19 7 49.458432
 26.9 | 27.69 | 2018-09-12 19 8 49.530969
 26.9 | 27.7 | 2018-09-12 19 9 49.58376
 26.86 | 27.71 | 2018-09-12 19 10 49.63236
 26.9 | 27.71 | 2018-09-12 19 11 49.695929
 26.9 | 27.72 | 2018-09-12 19 12 49.74594
 26.86 | 27.71 | 2018-09-12 19 13 49.812557
 26.87 | 27.7 | 2018-09-12 19 14 49.890412
 26.88 | 27.71 | 2018-09-12 19 15 49.94771
 26.93 | 27.7 | 2018-09-12 19 16 50.00291
 26.89 | 27.7 | 2018-09-12 19 17 50.063674
 26.94 | 27.7 | 2018-09-12 19 18 50.115491
 26.91 | 27.71 | 2018-09-12 19 19 50.179866
 26.93 | 27.7 | 2018-09-12 19 20 50.234149
 26.92 | 27.7 | 2018-09-12 19 21 50.278519
 26.93 | 27.71 | 2018-09-12 19 22 50.342708
 26.89 | 27.7 | 2018-09-12 19 23 50.411015
 26.89 | 27.71 | 2018-09-12 19 24 50.460688
 26.89 | 27.71 | 2018-09-12 19 25 50.504459
 26.94 | 27.7 | 2018-09-12 19 26 50.572327
 26.98 | 27.72 | 2018-09-12 19 27 50.630428
 26.95 | 27.71 | 2018-09-12 19 28 50.691996
 26.95 | 27.71 | 2018-09-12 19 29 50.76754
 26.93 | 27.72 | 2018-09-12 19 30 50.825828
 26.9 | 27.73 | 2018-09-12 19 31 50.893827
 26.88 | 27.71 | 2018-09-12 19 32 50.969975
 26.93 | 27.71 | 2018-09-12 19 33 51.029108
 26.97 | 27.71 | 2018-09-12 19 34 51.08849
 26.95 | 27.71 | 2018-09-12 19 35 51.142585
 26.92 | 27.73 | 2018-09-12 19 36 51.191123
 26.96 | 27.72 | 2018-09-12 19 37 51.23466
 26.96 | 27.71 | 2018-09-12 19 38 51.310519
 26.96 | 27.72 | 2018-09-12 19 39 51.366838
 26.93 | 27.72 | 2018-09-12 19 40 51.425899
 26.93 | 27.73 | 2018-09-12 19 41 51.4902
 26.92 | 27.73 | 2018-09-12 19 42 51.54268
 26.93 | 27.72 | 2018-09-12 19 43 51.61394
 26.98 | 27.72 | 2018-09-12 19 44 51.685622
 26.95 | 27.73 | 2018-09-12 19 45 51.738764
 26.95 | 27.72 | 2018-09-12 19 46 51.806325
 26.96 | 27.73 | 2018-09-12 19 47 51.88172
 26.94 | 27.73 | 2018-09-12 19 48 51.938401
 26.91 | 27.74 | 2018-09-12 19 49 52.000978
 26.96 | 27.71 | 2018-09-12 19 50 52.06085
 26.95 | 27.75 | 2018-09-12 19 51 52.117455
 26.99 | 27.74 | 2018-09-12 19 52 52.1872
 26.92 | 27.73 | 2018-09-12 19 53 52.261144
 26.93 | 27.73 | 2018-09-12 19 54 52.318246
 26.96 | 27.74 | 2018-09-12 19 55 52.364175
 26.95 | 27.76 | 2018-09-12 19 56 52.431456
 26.99 | 27.74 | 2018-09-12 19 57 52.480631
 26.95 | 27.74 | 2018-09-12 19 58 52.55236
 26.97 | 27.74 | 2018-09-12 19 59 52.624266
 26.97 | 27.73 | 2018-09-12 20 0 52.683372
 26.99 | 27.74 | 2018-09-12 20 1 52.743861
 26.96 | 27.73 | 2018-09-12 20 2 52.824545
 26.95 | 27.74 | 2018-09-12 20 3 52.88157
 26.96 | 27.76 | 2018-09-12 20 4 52.958157
 26.92 | 27.75 | 2018-09-12 20 5 53.017917
 26.95 | 27.77 | 2018-09-12 20 6 53.071775
 26.99 | 27.75 | 2018-09-12 20 7 53.139371
 27 | 27.74 | 2018-09-12 20 8 53.219137
 27.01 | 27.79 | 2018-09-12 20 9 53.281736
 27.02 | 27.76 | 2018-09-12 20 10 53.329307
 26.98 | 27.76 | 2018-09-12 20 11 53.403021
 27 | 27.77 | 2018-09-12 20 12 53.456842
 26.96 | 27.76 | 2018-09-12 20 13 53.524003
 27 | 27.76 | 2018-09-12 20 14 53.596226
 27 | 27.77 | 2018-09-12 20 15 53.659402
 26.98 | 27.77 | 2018-09-12 20 16 53.722985
 27 | 27.76 | 2018-09-12 20 17 53.794408
 27 | 27.77 | 2018-09-12 20 18 53.858927
 26.97 | 27.77 | 2018-09-12 20 19 53.931188
 26.96 | 27.77 | 2018-09-12 20 20 53.985229
 27 | 27.78 | 2018-09-12 20 21 54.039107
 27.01 | 27.76 | 2018-09-12 20 22 54.112312
 27 | 27.77 | 2018-09-12 20 23 54.183934
 27.05 | 27.79 | 2018-09-12 20 24 54.236741
 26.98 | 27.77 | 2018-09-12 20 25 54.2854
 27.01 | 27.76 | 2018-09-12 20 26 54.350429
 26.99 | 27.77 | 2018-09-12 20 27 54.408035
 27.02 | 27.78 | 2018-09-12 20 28 54.470114
 27.02 | 27.78 | 2018-09-12 20 29 54.542198
 27.01 | 27.78 | 2018-09-12 20 30 54.590686
 27.02 | 27.78 | 2018-09-12 20 31 54.659146
 27.05 | 27.78 | 2018-09-12 20 32 54.722183
 26.99 | 27.79 | 2018-09-12 20 33 54.778387
 27.01 | 27.81 | 2018-09-12 20 34 54.841119
 27.01 | 27.8 | 2018-09-12 20 35 54.88924
 27.04 | 27.81 | 2018-09-12 20 36 54.945578
 27.09 | 27.8 | 2018-09-12 20 37 55.016406
 27.03 | 27.79 | 2018-09-12 20 38 55.09164
 27.03 | 27.79 | 2018-09-12 20 39 55.143248
 27.06 | 27.8 | 2018-09-12 20 40 55.192978
 27.01 | 27.78 | 2018-09-12 20 41 55.264796
 27.05 | 27.79 | 2018-09-12 20 42 55.320204
 27.02 | 27.8 | 2018-09-12 20 43 55.37945
 27.1 | 27.81 | 2018-09-12 20 44 55.452247
 27.06 | 27.79 | 2018-09-12 20 45 55.50534
 27.11 | 27.78 | 2018-09-12 20 46 55.56976
 27.08 | 27.81 | 2018-09-12 20 47 55.636218
 27.04 | 27.82 | 2018-09-12 20 48 55.689311
 27.03 | 27.83 | 2018-09-12 20 49 55.756043
 27.01 | 27.82 | 2018-09-12 20 50 55.812456
 27.05 | 27.8 | 2018-09-12 20 51 55.861288
 27.05 | 27.82 | 2018-09-12 20 52 55.929984
 27.03 | 27.8 | 2018-09-12 20 53 56.009254
 27.09 | 27.81 | 2018-09-12 20 54 56.06861
 27.09 | 27.81 | 2018-09-12 20 55 56.118227
 27.08 | 27.82 | 2018-09-12 20 56 56.176303
 27.07 | 27.82 | 2018-09-12 20 57 56.226982
 27.06 | 27.82 | 2018-09-12 20 58 56.294309
 27.09 | 27.81 | 2018-09-12 20 59 56.363897
 27.09 | 27.83 | 2018-09-12 21 0 56.413992
 27.02 | 27.84 | 2018-09-12 21 1 56.478331
 27.05 | 27.83 | 2018-09-12 21 2 56.546805
 27.03 | 27.82 | 2018-09-12 21 3 56.600009
 27.08 | 27.83 | 2018-09-12 21 4 56.666154
 27.05 | 27.83 | 2018-09-12 21 5 56.719398
 27.07 | 27.83 | 2018-09-12 21 6 56.76797
 27.07 | 27.84 | 2018-09-12 21 7 56.837921
 27.1 | 27.85 | 2018-09-12 21 8 56.91131
 27.06 | 27.84 | 2018-09-12 21 9 56.964418
 27.14 | 27.83 | 2018-09-12 21 10 57.011885
 27.11 | 27.84 | 2018-09-12 21 11 57.084603
 27.1 | 27.82 | 2018-09-12 21 12 57.131588
 27.09 | 27.84 | 2018-09-12 21 13 57.19839
 27.11 | 27.84 | 2018-09-12 21 14 57.273915
 27.1 | 27.85 | 2018-09-12 21 15 57.329722
 27.09 | 27.84 | 2018-09-12 21 16 57.404733
 27.11 | 27.82 | 2018-09-12 21 17 57.470348
 27.15 | 27.85 | 2018-09-12 21 18 57.542692
 27.1 | 27.85 | 2018-09-12 21 19 57.610814
 27.15 | 27.85 | 2018-09-12 21 20 57.674665
 27.16 | 27.86 | 2018-09-12 21 21 57.725763
 27.13 | 27.85 | 2018-09-12 21 22 57.792057
 27.08 | 27.85 | 2018-09-12 21 23 57.858157
 27.11 | 27.87 | 2018-09-12 21 24 57.906999
 27.08 | 27.86 | 2018-09-12 21 25 57.956666
 27.12 | 27.86 | 2018-09-12 21 26 58.026548
 27.14 | 27.85 | 2018-09-12 21 27 58.084415
 27.11 | 27.87 | 2018-09-12 21 28 58.150559
 27.16 | 27.87 | 2018-09-12 21 29 58.226759
 27.14 | 27.88 | 2018-09-12 21 30 58.28393
 27.14 | 27.88 | 2018-09-12 21 31 58.345289
 27.15 | 27.88 | 2018-09-12 21 32 58.406623
 27.14 | 27.85 | 2018-09-12 21 33 58.46066
 27.16 | 27.87 | 2018-09-12 21 34 58.526942
 27.19 | 27.88 | 2018-09-12 21 35 58.578289
 27.13 | 27.88 | 2018-09-12 21 36 58.634242
 27.16 | 27.89 | 2018-09-12 21 37 58.692805
 27.15 | 27.88 | 2018-09-12 21 38 58.768522
 27.16 | 27.88 | 2018-09-12 21 39 58.823746
 27.17 | 27.88 | 2018-09-12 21 40 58.883805
 27.15 | 27.91 | 2018-09-12 21 41 58.954207
 27.11 | 27.9 | 2018-09-12 21 42 59.007834
 27.12 | 27.9 | 2018-09-12 21 43 59.070792
 27.16 | 27.89 | 2018-09-12 21 44 59.142599
 27.15 | 27.91 | 2018-09-12 21 45 59.200287
 27.21 | 27.91 | 2018-09-12 21 46 59.272899
 27.15 | 27.89 | 2018-09-12 21 47 59.347131
 27.21 | 27.89 | 2018-09-12 21 48 59.402217
 27.2 | 27.9 | 2018-09-12 21 49 59.471835
 27.22 | 27.89 | 2018-09-12 21 50 59.526494
 27.2 | 27.91 | 2018-09-12 21 51 59.57963
 27.21 | 27.91 | 2018-09-12 21 52 59.657815
 27.17 | 27.91 | 2018-09-12 21 53 59.728234
 27.15 | 27.92 | 2018-09-12 21 54 59.786163
 27.16 | 27.9 | 2018-09-12 21 55 59.835229
 27.17 | 27.91 | 2018-09-12 21 56 59.907321
 27.14 | 27.91 | 2018-09-12 21 57 59.959624
 27.17 | 27.91 | 2018-09-12 21 59 0.032682
 27.21 | 27.91 | 2018-09-12 22 0 0.115236
 27.22 | 27.92 | 2018-09-12 22 1 0.165795
 27.2 | 27.93 | 2018-09-12 22 2 0.23878
 27.2 | 27.93 | 2018-09-12 22 3 0.30314
 27.19 | 27.92 | 2018-09-12 22 4 0.357795
 27.22 | 27.91 | 2018-09-12 22 5 0.434561
 27.2 | 27.92 | 2018-09-12 22 6 0.494098
 27.22 | 27.92 | 2018-09-12 22 7 0.545772
 27.18 | 27.92 | 2018-09-12 22 8 0.61727
 27.13 | 27.92 | 2018-09-12 22 9 0.690667
 27.17 | 27.93 | 2018-09-12 22 10 0.740896
 27.19 | 27.91 | 2018-09-12 22 11 0.794021
 27.19 | 27.92 | 2018-09-12 22 12 0.860509
 27.2 | 27.94 | 2018-09-12 22 13 0.911833
 27.15 | 27.92 | 2018-09-12 22 14 0.978856
 27.17 | 27.93 | 2018-09-12 22 15 1.050915
 27.21 | 27.92 | 2018-09-12 22 16 1.102799
 27.19 | 27.93 | 2018-09-12 22 17 1.177784
 27.25 | 27.94 | 2018-09-12 22 18 1.251892
 27.24 | 27.94 | 2018-09-12 22 19 1.304792
 27.23 | 27.94 | 2018-09-12 22 20 1.373022
 27.19 | 27.94 | 2018-09-12 22 21 1.427277
 27.22 | 27.95 | 2018-09-12 22 22 1.481884
 27.2 | 27.95 | 2018-09-12 22 23 1.557408
 27.21 | 27.97 | 2018-09-12 22 24 1.623783
 27.23 | 27.97 | 2018-09-12 22 25 1.674556
 27.26 | 27.96 | 2018-09-12 22 26 1.730788
 27.26 | 27.97 | 2018-09-12 22 27 1.805576
 27.28 | 27.96 | 2018-09-12 22 28 1.86329
 27.27 | 27.96 | 2018-09-12 22 29 1.933091
 27.26 | 27.95 | 2018-09-12 22 30 2.000226
 27.24 | 27.96 | 2018-09-12 22 31 2.050815
 27.25 | 27.97 | 2018-09-12 22 32 2.125097
 27.28 | 27.96 | 2018-09-12 22 33 2.195007
 27.26 | 27.97 | 2018-09-12 22 34 2.24579
 27.27 | 27.97 | 2018-09-12 22 35 2.315036
 27.24 | 27.97 | 2018-09-12 22 36 2.363436
 27.21 | 27.97 | 2018-09-12 22 37 2.415694
 27.28 | 27.98 | 2018-09-12 22 38 2.48568
 27.26 | 27.99 | 2018-09-12 22 39 2.553022
 27.27 | 27.98 | 2018-09-12 22 40 2.599089
 27.28 | 27.97 | 2018-09-12 22 41 2.657079
 27.31 | 27.99 | 2018-09-12 22 42 2.721975
 27.38 | 27.99 | 2018-09-12 22 43 2.774432
 27.36 | 27.97 | 2018-09-12 22 44 2.841307
 27.33 | 28 | 2018-09-12 22 45 2.9179
 27.32 | 28.01 | 2018-09-12 22 46 2.959541
 27.36 | 28.02 | 2018-09-12 22 47 3.031276
 27.32 | 28.01 | 2018-09-12 22 48 3.104707
 27.38 | 28.02 | 2018-09-12 22 49 3.156562
 27.36 | 28.01 | 2018-09-12 22 50 3.232911
 27.34 | 28.01 | 2018-09-12 22 51 3.283272
 27.38 | 28.01 | 2018-09-12 22 52 3.333444
 27.38 | 28.02 | 2018-09-12 22 53 3.399224
 27.36 | 28.01 | 2018-09-12 22 54 3.469279
 27.35 | 28.02 | 2018-09-12 22 55 3.516129
 27.36 | 28.01 | 2018-09-12 22 56 3.567202
 27.36 | 28.03 | 2018-09-12 22 57 3.643114
 27.4 | 28.05 | 2018-09-12 22 58 3.691528
 27.38 | 28.04 | 2018-09-12 22 59 3.76253
 27.37 | 28.03 | 2018-09-12 23 0 3.84082
 27.35 | 28.03 | 2018-09-12 23 1 3.899506
 27.37 | 28.03 | 2018-09-12 23 2 3.967308
 27.4 | 28.04 | 2018-09-12 23 3 4.044174
 27.44 | 28.05 | 2018-09-12 23 4 4.095304
 27.38 | 28.03 | 2018-09-12 23 5 4.166124
 27.39 | 28.05 | 2018-09-12 23 6 4.217933
 27.42 | 28.06 | 2018-09-12 23 7 4.267148
 27.41 | 28.05 | 2018-09-12 23 8 4.347409
 27.43 | 28.04 | 2018-09-12 23 9 4.415299
 27.39 | 28.06 | 2018-09-12 23 10 4.469486
 27.41 | 28.06 | 2018-09-12 23 11 4.520187
 27.42 | 28.05 | 2018-09-12 23 12 4.597239
 27.37 | 28.07 | 2018-09-12 23 13 4.648256
 27.4 | 28.07 | 2018-09-12 23 14 4.723623
 27.39 | 28.07 | 2018-09-12 23 15 4.788323
 27.37 | 28.1 | 2018-09-12 23 16 4.845881
 27.4 | 28.08 | 2018-09-12 23 17 4.909963
 27.38 | 28.08 | 2018-09-12 23 18 4.983676
 27.4 | 28.09 | 2018-09-12 23 19 5.035997
 27.45 | 28.09 | 2018-09-12 23 20 5.102012
 27.43 | 28.09 | 2018-09-12 23 21 5.158104
 27.45 | 28.09 | 2018-09-12 23 22 5.216241
 27.44 | 28.09 | 2018-09-12 23 23 5.278935
 27.4 | 28.1 | 2018-09-12 23 24 5.349732
 27.46 | 28.1 | 2018-09-12 23 25 5.402539
 27.47 | 28.09 | 2018-09-12 23 26 5.462685
 27.45 | 28.11 | 2018-09-12 23 27 5.53959
 27.46 | 28.12 | 2018-09-12 23 28 5.59294
 27.47 | 28.11 | 2018-09-12 23 29 5.66165
 27.47 | 28.12 | 2018-09-12 23 30 5.732112
 27.47 | 28.11 | 2018-09-12 23 31 5.787478
 27.46 | 28.12 | 2018-09-12 23 32 5.866709
 27.48 | 28.14 | 2018-09-12 23 33 5.944971
 27.44 | 28.13 | 2018-09-12 23 34 6.003399
 27.46 | 28.13 | 2018-09-12 23 35 6.068089
 27.49 | 28.13 | 2018-09-12 23 36 6.119238
 27.53 | 28.14 | 2018-09-12 23 37 6.167062
 27.48 | 28.14 | 2018-09-12 23 38 6.222541
 27.45 | 28.14 | 2018-09-12 23 39 6.292383
 27.43 | 28.14 | 2018-09-12 23 40 6.350886
 27.49 | 28.16 | 2018-09-12 23 41 6.405972
 27.46 | 28.16 | 2018-09-12 23 42 6.467728
 27.46 | 28.15 | 2018-09-12 23 43 6.521405
 27.46 | 28.17 | 2018-09-12 23 44 6.582651
 27.47 | 28.15 | 2018-09-12 23 45 6.655696
 27.5 | 28.14 | 2018-09-12 23 46 6.703823
 27.52 | 28.16 | 2018-09-12 23 47 6.77363
 27.51 | 28.17 | 2018-09-12 23 48 6.834993
 27.52 | 28.15 | 2018-09-12 23 49 6.890838
 27.5 | 28.17 | 2018-09-12 23 50 6.96798
 27.5 | 28.16 | 2018-09-12 23 51 7.020567
 27.48 | 28.16 | 2018-09-12 23 52 7.055665
 27.53 | 28.17 | 2018-09-12 23 53 7.078879
 27.5 | 28.19 | 2018-09-12 23 54 7.142671
 27.52 | 28.18 | 2018-09-12 23 55 7.203283
 27.53 | 28.18 | 2018-09-12 23 56 7.264087
 27.52 | 28.18 | 2018-09-12 23 57 7.334813
 27.53 | 28.18 | 2018-09-12 23 58 7.39071
 27.54 | 28.17 | 2018-09-12 23 59 7.451239
 27.54 | 28.2 | 2018-09-13 0 0 7.515766
 27.52 | 28.2 | 2018-09-13 0 1 7.56183
 27.54 | 28.19 | 2018-09-13 0 2 7.632678
 27.55 | 28.2 | 2018-09-13 0 3 7.709629
 27.53 | 28.21 | 2018-09-13 0 4 7.761277
 27.56 | 28.2 | 2018-09-13 0 5 7.834323
 27.59 | 28.22 | 2018-09-13 0 6 7.891131
 27.57 | 28.2 | 2018-09-13 0 7 7.939726
 27.56 | 28.23 | 2018-09-13 0 8 8.008119
 27.54 | 28.22 | 2018-09-13 0 9 8.082871
 27.55 | 28.22 | 2018-09-13 0 10 8.136971
 27.51 | 28.23 | 2018-09-13 0 11 8.19543
 27.57 | 28.22 | 2018-09-13 0 12 8.260671
 27.55 | 28.23 | 2018-09-13 0 13 8.309336
 27.6 | 28.23 | 2018-09-13 0 14 8.385784
 27.54 | 28.23 | 2018-09-13 0 15 8.442204
 27.55 | 28.23 | 2018-09-13 0 16 8.486668
 27.54 | 28.23 | 2018-09-13 0 17 8.559266
 27.54 | 28.23 | 2018-09-13 0 18 8.637097
 27.53 | 28.24 | 2018-09-13 0 19 8.681072
 27.55 | 28.25 | 2018-09-13 0 20 8.757722
 27.58 | 28.28 | 2018-09-13 0 21 8.810133
 27.55 | 28.26 | 2018-09-13 0 22 8.860699
 27.54 | 28.26 | 2018-09-13 0 23 8.923694
